PUMA,Total number of jobs,Number of jobs for workers age 29 or younger,Number of jobs for workers age 30 to 54,Number of jobs for workers age 55 or older,Number of jobs with earnings $1250/month or less,Number of jobs with earnings $1251/month to $3333/month,Number of jobs with earnings greater than $3333/month,"Number of jobs in NAICS sector 11 (Agriculture, Forestry, Fishing and Hunting)","Number of jobs in NAICS sector 21 (Mining, Quarrying, and Oil and Gas Extraction)",Number of jobs in NAICS sector 22 (Utilities),Number of jobs in NAICS sector 23 (Construction),Number of jobs in NAICS sector 31-33 (Manufacturing),Number of jobs in NAICS sector 42 (Wholesale Trade),Number of jobs in NAICS sector 44-45 (Retail Trade),Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Number of jobs in NAICS sector 51 (Information),Number of jobs in NAICS sector 52 (Finance and Insurance),Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Number of jobs in NAICS sector 61 (Educational Services),Number of jobs in NAICS sector 62 (Health Care and Social Assistance),"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Number of jobs in NAICS sector 72 (Accommodation and Food Services),Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Number of jobs in NAICS sector 92 (Public Administration),Number of jobs for workers with Educational Attainment: Less than high school,"Number of jobs for workers with Educational Attainment: High school or equivalent, no college",Number of jobs for workers with Educational Attainment: Some college or Associate degree,Number of jobs for workers with Educational Attainment: Bachelor's degree or advanced degree,Proportion of jobs for ages 29 and younger,Proportion of jobs for ages 30 to 54,Proportion of jobs for ages 55 and older,Proportion of jobs paying 1250 a month or less,Proportion of jobs paying 1251 to 3333 a month or less,Proportion of jobs paying more than 3333 a month,Proportion of agriculture jobs,Proportion of extraction jobs,Proportion of utilities jobs,Proportion of construction jobs,Proportion of manufacturing jobs,Proportion of wholesale trade jobs,Proportion of retail trade jobs,Proportion of transportation jobs,Proportion of information jobs,Proportion of finance jobs,Proportion of real estate jobs,Proportion of professional jobs,Proportion of management jobs,Proportion of support/administrative jobs,Proportion of educational jobs,Proportion of health jobs,Proportion of entertainment jobs,Proportion of hospitality jobs,Proportion of other services jobs,Proportion of public administration jobs,Proportion of jobs with less than high school education,"Proportion of jobs with high school education, no college",Proportion of jobs with some college or associate degree,Proportion of jobs with bachelor's degree or advanced degree
2800500,81845,20421,45624,15800,19920,36855,25070,123,0,433,2201,21913,2398,9724,3812,1576,2058,604,2078,819,6777,4336,12848,532,6201,1323,2089,8793,19834,20571,12226,0.24950821675117602,0.5574439489278514,0.19304783432097258,0.2433868898527705,0.45030240087971163,0.30631070926751786,0.0015028407355366852,0.0,0.005290488117783616,0.026892296413953205,0.2677377970554096,0.02929928523428432,0.11880994562893274,0.046575844584275154,0.01925591056264891,0.02514509133117478,0.0073798032867004705,0.02538945567841652,0.010006720019549147,0.08280285906286272,0.05297819048200868,0.15697965666809213,0.006500091636630216,0.07576516586230068,0.01616470157004093,0.025523856069399473,0.1431525136754363,0.322903099765564,0.3349016671008075,0.19904271945819224
2800600,64050,15938,33878,14234,18548,23918,21584,677,317,685,2315,9019,1608,7981,2254,627,1080,939,1362,430,2582,11583,8861,616,7454,1305,2355,6588,14588,15621,11315,0.2488368462138954,0.5289305230288837,0.2222326307572209,0.2895862607338017,0.37342701014832164,0.33698672911787664,0.010569867291178767,0.004949258391881343,0.010694769711163154,0.03614363778298205,0.1408118657298985,0.025105386416861827,0.12460577673692427,0.03519125683060109,0.009789227166276346,0.01686182669789227,0.014660421545667447,0.02126463700234192,0.006713505074160812,0.04031225604996097,0.18084309133489462,0.13834504293520686,0.009617486338797814,0.11637782982045278,0.020374707259953162,0.03676814988290398,0.13693049551047556,0.3032091785833056,0.3246799135350848,0.23518041237113402
2800700,39781,8379,21815,9587,11440,17712,10629,1036,27,308,1464,7319,1109,5176,905,388,922,353,633,164,2708,4395,6888,193,2858,813,2122,4974,10316,10257,5855,0.21062818933661798,0.5483773660792841,0.24099444458409794,0.287574470224479,0.44523767627761995,0.26718785349790103,0.026042583142706317,0.0006787159699353963,0.007742389582966743,0.036801488147608155,0.18398230310952465,0.0278776300243835,0.1301123651994671,0.02274955380709384,0.009753399864256806,0.023176893491867977,0.008873582866192404,0.015912118850707625,0.004122571076644629,0.06807269802166864,0.11047987732837285,0.17314798521907443,0.004851562303612277,0.07184334229908751,0.020436891983610265,0.05334204771121892,0.1583975542959047,0.32851410738169545,0.3266352461626648,0.18645309215973505
2800800,41736,8827,22556,10353,12377,18571,10788,1814,17,184,908,3767,1457,5435,2190,397,1051,458,835,427,1681,5242,7190,508,3663,1292,3220,5295,10217,10927,6470,0.21149607053862374,0.5404447000191681,0.24805922944220818,0.2965545332566609,0.44496358060187846,0.2584818861414606,0.043463676442399846,0.00040732221583285414,0.004408663983132068,0.021755798351543034,0.09025781100249185,0.03490990990990991,0.1302233084147978,0.05247268545140885,0.0095121717462143,0.025182096990607628,0.010973739697143952,0.020006708836496072,0.010230975656507572,0.04027697910676634,0.12559900325857773,0.1722733371669542,0.012171746214299405,0.08776595744680851,0.030956488403296914,0.0771516197048112,0.16089823452550975,0.31046218359719224,0.33203682883101887,0.19660275304627914
2800900,45631,11356,25756,8519,10326,17908,17397,302,253,253,1669,9642,961,5209,1199,479,1968,403,2365,942,4420,3444,5198,433,3967,910,1614,4753,10400,11384,7738,0.24886590256623786,0.5644408406565712,0.18669325677719095,0.22629352852227652,0.3924524993973395,0.381253972080384,0.0066183077293944905,0.005544476342837106,0.005544476342837106,0.036576011921719886,0.2113037189629857,0.021060244132278496,0.11415485086892682,0.026275996581271503,0.010497249676754838,0.04312857487234555,0.00883171528127808,0.051828800596085994,0.020643860533409306,0.09686397405272731,0.07547500602660472,0.11391378668010782,0.009489163068966274,0.08693651245863558,0.019942582893208563,0.03537069097762486,0.1386725018234865,0.30342815463165573,0.33213712618526625,0.22576221735959154
2801000,46068,11862,24696,9510,14243,16812,15013,4,35,70,2720,1755,2448,7663,2637,1329,2884,755,2484,693,3089,2716,5679,389,5834,1470,1414,4578,9889,11646,8093,0.25748892940870016,0.5360771034123469,0.20643396717895285,0.3091733958496136,0.3649387861422245,0.32588781800816186,8.682816705739342e-05,0.0007597464617521924,0.0015194929235043848,0.05904315359902752,0.03809585829643136,0.05313883823912477,0.16634106104020144,0.05724146913258661,0.028848658504818964,0.06260310844838066,0.016388816532083007,0.05392029174264131,0.01504297994269341,0.06705305201007207,0.05895632543197013,0.1232742901797343,0.00844403924633151,0.1266388816532083,0.03190935139359208,0.030693757054788575,0.13383616909314155,0.2891013272525288,0.3404665848096825,0.23659591884464715
2801100,100309,18912,57411,23986,21760,37948,40601,18,130,1021,2603,1870,2395,7161,1550,1989,3891,1307,4606,2368,5753,13100,27830,900,6661,2051,13105,9026,20450,28123,23798,0.18853741937413393,0.5723414648735408,0.2391211157523253,0.21692968726634698,0.37831101895144004,0.404759293782213,0.00017944551336370615,0.0012959953742934334,0.010178548285796887,0.025949815071429284,0.018642394999451695,0.02387622247255979,0.07138940673319442,0.015452252539652473,0.019828729226689528,0.03879013847212114,0.01302973810924244,0.04591811303073503,0.02360705420251423,0.05735277991007786,0.1305964569480306,0.27744270205066346,0.008972275668185307,0.06640480913975814,0.020446819328275627,0.13064630292396495,0.11088860768824405,0.25123776060542774,0.3455041340589948,0.29236949764733344
2801200,29103,6388,15829,6886,8127,12193,8783,585,124,72,1203,4779,398,3438,1641,227,514,287,828,72,1403,3104,3957,526,4103,497,1345,3500,7155,7688,4372,0.21949627186200735,0.5438958183005188,0.2366079098374738,0.27924956190083494,0.41896024464831805,0.301790193450847,0.020101020513349138,0.004260729134453493,0.002473971755489125,0.04133594474796413,0.16420987527059067,0.013675566092842662,0.11813215132460571,0.0563859395938563,0.00779988317355599,0.017661409476686252,0.009861526303130261,0.028450675188124934,0.002473971755489125,0.0482080885132117,0.10665567123664227,0.13596536439542314,0.018073738102601107,0.14098202934405388,0.017077277256640207,0.0462151668212899,0.15408320493066255,0.3149900946511116,0.33845476557340964,0.1924719348448162
2801300,73951,18800,39588,15563,21156,28084,24711,248,493,268,4066,4360,4801,11470,5203,566,2918,1164,1982,879,5373,5397,11534,726,7776,1507,3220,7313,16668,18730,12440,0.2542223905018188,0.5353274465524469,0.21045016294573435,0.2860813241200254,0.3797649795134616,0.334153696366513,0.0033535719598112262,0.006666576516882801,0.003624021311408906,0.05498235317980825,0.05895795864829414,0.06492136685102297,0.15510270314126923,0.07035739881813634,0.007653716650214331,0.039458560398101444,0.01574015226298495,0.026801530743330044,0.011886249002718017,0.0726562183067166,0.07298075752863382,0.1559681410663818,0.009817311462995767,0.10515070790117781,0.020378358642885154,0.043542345607226404,0.13259959021595258,0.30222480100088844,0.33961306231981286,0.2255625464633461
2801400,37833,8479,20676,8678,8956,18932,9945,1411,202,545,3064,8588,611,4423,1144,301,717,145,482,163,919,4120,3590,255,3075,491,3587,5004,9703,9531,5116,0.22411651203975366,0.5465070176829752,0.22937647027727118,0.2367245526392303,0.5004096952396057,0.2628657521211641,0.03729548277958396,0.005339254090344408,0.014405413263552982,0.0809874976872043,0.22699759469246425,0.01614992202574472,0.1169085190177887,0.030238151877990116,0.007956017233632014,0.01895170882562842,0.0038326328866333625,0.012740200354188142,0.004308408003594746,0.024290962915972828,0.1088996378822721,0.09489070388285359,0.006740147490286258,0.08127824914756958,0.012978087912668834,0.0948114080300267,0.17047080466035294,0.33055120256183146,0.32469169448797436,0.17428629828984124
2801500,42434,9696,22866,9872,12397,17886,12151,581,191,387,1713,3895,1359,6349,1072,355,1181,485,776,752,3318,4402,8122,227,4599,883,1787,4594,10198,11170,6776,0.22849601734458216,0.5388603478342838,0.232643634821134,0.2921478060046189,0.42150162605457886,0.2863505679408022,0.013691850874298911,0.004501107602394306,0.009120045246736107,0.04036857237121176,0.09178960267709856,0.032026205401329125,0.14962058726492908,0.025262760993542913,0.00836593297827214,0.027831455907998303,0.011429514068907009,0.018287222510251215,0.017721638308903238,0.07819201583635764,0.10373756893057454,0.19140312013951077,0.00534948390441627,0.10838007258330584,0.020808785407927605,0.04211245699203469,0.14032622640356773,0.3115034516464048,0.3411937198362759,0.2069766021137516
2801600,51915,11013,27911,12991,14504,22885,14526,1092,409,1204,2108,6249,1775,7425,3123,585,1472,442,948,267,1391,5636,8837,580,4667,1122,2583,6192,12944,13760,8006,0.21213522103438312,0.5376288163343927,0.2502359626312241,0.2793797553693538,0.4408167196378696,0.27980352499277666,0.021034383126264086,0.007878262544543966,0.023191755754598864,0.04060483482615814,0.12036983530771453,0.0341905037079842,0.14302224790522972,0.06015602427044207,0.011268419531927188,0.028354040258114225,0.008513916979678321,0.018260618318405086,0.00514302224790523,0.026793797553693537,0.10856207261870365,0.170220552826736,0.01117210825387653,0.08989694693248579,0.021612250794568043,0.04975440624097082,0.15138624028164882,0.3164637426042736,0.3364138672925529,0.19573614982152462
2801700,43046,9694,23338,10014,10569,19581,12896,883,1308,378,2713,9019,1215,4896,1550,361,829,392,778,735,744,4552,6720,165,3018,662,2128,4902,10864,11223,6363,0.22520094782325883,0.5421641964410165,0.23263485573572457,0.24552803977140733,0.4548854713562236,0.2995864888723691,0.020512939645960137,0.03038609859220369,0.008781303721600148,0.06302560052037355,0.20952004832040144,0.028225619105143335,0.11373879106072574,0.0360079914510059,0.008386377363750407,0.019258467685731542,0.009106537192770525,0.018073688612182316,0.017074757236444735,0.017283835896482833,0.10574734005482507,0.15611206616178042,0.003833108767365144,0.07011104399944246,0.015378896993913488,0.049435487617897136,0.14697769249220435,0.3257375869513073,0.33650155912688895,0.19078316142959942
2801800,69869,19257,36956,13656,21157,28261,20451,380,296,700,3295,4911,2264,10612,2652,562,2158,852,1868,1213,4232,7702,13430,824,7766,1433,2719,6809,15172,16781,11850,0.2756157952740128,0.5289327169417052,0.195451487784282,0.30280954357440354,0.4044855372196539,0.29270491920594255,0.005438749660078146,0.004236499735218766,0.010018749373828163,0.04715968455251972,0.07028868310695731,0.03240349797478138,0.15188424050723498,0.03795674762770327,0.008043624497273468,0.030886373069601684,0.012194249237859422,0.026735748329015728,0.01736106141493366,0.06057049621434399,0.11023486811032074,0.19221686298644605,0.011793499262906296,0.11115086805307074,0.0205098112181368,0.038915685067769684,0.13453331225796253,0.2997708053426065,0.33156168497589505,0.23413419742353592
2801900,31236,7294,16789,7153,8713,12225,10298,451,164,479,1319,2088,585,5186,522,273,802,242,1903,23,1488,4070,4090,303,4352,513,2383,2966,7000,7977,5999,0.2335126136509156,0.5374887949801511,0.22899859136893327,0.27894096555256753,0.39137533615059544,0.32968369829683697,0.014438468433858369,0.00525035215776668,0.015334870021769753,0.04222691765911128,0.06684594698424895,0.01872839031886285,0.16602637981815854,0.016711486746062237,0.008739915482135997,0.02567550262517608,0.007747470866948393,0.06092329363554873,0.0007363298757843514,0.04763734152900499,0.1302983736714048,0.13093866051991293,0.009700345754898195,0.13932641823536945,0.016423357664233577,0.07629017799974389,0.12388271656503216,0.2923732353186868,0.3331801854481664,0.2505638626681146
2802000,84627,20683,46282,17662,22771,36068,25788,9,13,840,3870,3153,1631,12229,2030,1032,2330,1305,2738,990,5013,5114,13422,1475,22169,1841,3423,8987,18614,21999,14344,0.24440190482942797,0.5468940172758103,0.20870407789476172,0.26907488153898873,0.4261996762262635,0.3047254422347478,0.00010634903754121025,0.00015361527644841482,0.009925910170512958,0.04573008614272041,0.03725761281860399,0.01927280891441266,0.14450470889905112,0.023987616245406313,0.012194689638058776,0.027532584163446654,0.015420610443475487,0.03235374053198152,0.011698394129533128,0.05923641391045411,0.06042988644286103,0.1586018646531249,0.01742942559703168,0.26196131258345445,0.021754286457040896,0.0404480839448403,0.14054485174527712,0.29109846115350935,0.3440354059802327,0.22432128112098085
2802100,48161,10213,27591,10357,10145,14965,23051,22,41,563,3781,12696,508,4908,623,697,1121,560,2169,339,2104,4459,5997,441,4378,1051,1703,5194,11559,12704,8491,0.21205955025850792,0.5728909283445112,0.21504952139698097,0.21064761944311788,0.3107285978281182,0.47862378272876394,0.0004568011461556031,0.0008513112269263512,0.011689956603891116,0.07850750607337888,0.2636157887087062,0.010547953738502107,0.10190818296962273,0.012935777911588215,0.01447229085774797,0.02327609476547414,0.011627665538506261,0.04503644027325014,0.007038890388488611,0.04368680052324495,0.0925852868503561,0.12451983970432508,0.00915678661157368,0.09090342808496502,0.021822636573160855,0.035360561450136004,0.13687150837988826,0.30460103299251606,0.33477390112785915,0.2237535574997365
2900100,35560,8403,17875,9282,10386,14364,10810,1580,79,450,1104,5361,1593,4293,693,668,1094,191,638,271,756,4954,5881,186,2518,865,2385,2618,10085,8740,5714,0.2363048368953881,0.5026715410573678,0.2610236220472441,0.2920697412823397,0.40393700787401576,0.30399325084364454,0.04443194600674916,0.0022215973003374577,0.01265466816647919,0.031046119235095614,0.15075928008998876,0.04479752530933633,0.12072553430821148,0.019488188976377954,0.018785151856018,0.03076490438695163,0.005371203599550056,0.01794150731158605,0.007620922384701912,0.02125984251968504,0.1393138357705287,0.1653824521934758,0.005230596175478065,0.07080989876265467,0.024325084364454443,0.06706974128233971,0.0964024008542917,0.3713591339249549,0.3218323084287661,0.21040615679198732
2900200,54770,13758,28772,12240,13151,20247,21372,53,45,465,2420,11323,1960,5783,1795,561,1997,414,1761,375,3647,3532,8897,884,4284,1393,3181,4568,13841,13684,8919,0.251195910169801,0.5253240825269307,0.22348000730326822,0.24011320065729413,0.3696731787474895,0.39021362059521636,0.0009676830381595764,0.0008216176739090743,0.008490049297060435,0.044184772685776884,0.2067372649260544,0.03578601424137302,0.1055870001825817,0.03277341610370641,0.01024283366806646,0.03646156655103159,0.007558882599963484,0.03215263830564177,0.006846813949242286,0.06658754792769764,0.06448785831659667,0.16244294321708966,0.016140222749680484,0.07821800255614388,0.025433631550118678,0.058079240460105895,0.11138203452648006,0.3374865892909392,0.3336584414317761,0.21747293475080465
2900300,41833,10017,20670,11146,12944,16719,12170,551,146,531,1786,5267,1877,5399,1140,541,1276,214,1063,200,797,5661,7891,699,3738,1094,1962,3191,11636,10273,6716,0.23945210718810508,0.49410752276910574,0.2664403700427892,0.30942079219754737,0.3996605550641838,0.29091865273826883,0.013171419692587193,0.003490067649941434,0.012693328233691105,0.04269356727942055,0.12590538570028448,0.04486888341739775,0.12906078932899864,0.02725121315707695,0.012932373963139149,0.030502235077570338,0.005115578610188129,0.025410561040327014,0.004780914588960869,0.01905194463700906,0.13532378744053739,0.18863098510745105,0.016709296488418235,0.08935529366767862,0.02615160280161595,0.046900772117706116,0.10029544883077697,0.36572793562987177,0.32288785516721147,0.2110887603721398
2900400,37506,9201,19200,9105,9827,15277,12402,734,164,320,2652,6231,1533,4766,1717,308,1070,198,697,184,1290,4058,4710,422,2765,1056,2631,3262,10540,9109,5394,0.24532074868021117,0.5119180931051032,0.24276115821468566,0.26201141150749213,0.4073214952274303,0.3306670932650776,0.019570202100997174,0.004372633711939423,0.008531968218418387,0.07070868661014237,0.1661334186530155,0.040873460246360585,0.12707300165306884,0.04577934197195115,0.008212019410227697,0.02852876873033648,0.005279155335146377,0.01858369327574255,0.004905881725590572,0.03439449688049912,0.10819602196981816,0.12557990721484563,0.011251533088039247,0.07372153788727137,0.028155495120780676,0.07014877619580867,0.11524465642112701,0.37237237237237236,0.3218159335806395,0.19056703762586116
