MIGPUMA,Total number of jobs,Number of jobs for workers age 29 or younger,Number of jobs for workers age 30 to 54,Number of jobs for workers age 55 or older,Number of jobs with earnings $1250/month or less,Number of jobs with earnings $1251/month to $3333/month,Number of jobs with earnings greater than $3333/month,"Number of jobs in NAICS sector 11 (Agriculture, Forestry, Fishing and Hunting)","Number of jobs in NAICS sector 21 (Mining, Quarrying, and Oil and Gas Extraction)",Number of jobs in NAICS sector 22 (Utilities),Number of jobs in NAICS sector 23 (Construction),Number of jobs in NAICS sector 31-33 (Manufacturing),Number of jobs in NAICS sector 42 (Wholesale Trade),Number of jobs in NAICS sector 44-45 (Retail Trade),Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Number of jobs in NAICS sector 51 (Information),Number of jobs in NAICS sector 52 (Finance and Insurance),Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Number of jobs in NAICS sector 61 (Educational Services),Number of jobs in NAICS sector 62 (Health Care and Social Assistance),"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Number of jobs in NAICS sector 72 (Accommodation and Food Services),Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Number of jobs in NAICS sector 92 (Public Administration),Number of jobs for workers with Educational Attainment: Less than high school,"Number of jobs for workers with Educational Attainment: High school or equivalent, no college",Number of jobs for workers with Educational Attainment: Some college or Associate degree,Number of jobs for workers with Educational Attainment: Bachelor's degree or advanced degree,Proportion of jobs for ages 29 and younger,Proportion of jobs for ages 30 to 54,Proportion of jobs for ages 55 and older,Proportion of jobs paying 1250 a month or less,Proportion of jobs paying 1251 to 3333 a month or less,Proportion of jobs paying more than 3333 a month,Proportion of agriculture jobs,Proportion of extraction jobs,Proportion of utilities jobs,Proportion of construction jobs,Proportion of manufacturing jobs,Proportion of wholesale trade jobs,Proportion of retail trade jobs,Proportion of transportation jobs,Proportion of information jobs,Proportion of finance jobs,Proportion of real estate jobs,Proportion of professional jobs,Proportion of management jobs,Proportion of support/administrative jobs,Proportion of educational jobs,Proportion of health jobs,Proportion of entertainment jobs,Proportion of hospitality jobs,Proportion of other services jobs,Proportion of public administration jobs,Proportion of jobs with less than high school education,"Proportion of jobs with high school education, no college",Proportion of jobs with some college or associate degree,Proportion of jobs with bachelor's degree or advanced degree
2100400,52858,13028,28319,11511,12569,22253,18036,471,56,395,1983,14945,1921,6504,1488,584,1332,383,791,62,2228,4943,5952,793,4706,1301,2020,4631,14779,12695,7725,0.24647167883764048,0.5357561769268606,0.21777214423549887,0.2377880358696886,0.42099587574255554,0.34121608838775586,0.00891066631351924,0.0010594422793143894,0.007472851791592568,0.03751560785500776,0.2827386582920277,0.03634265390290968,0.12304665329751409,0.02815089485035378,0.011048469484278633,0.025199591357977977,0.0072458284460252,0.014964622195315752,0.001172953952098074,0.04215066782700821,0.09351469976162549,0.11260357940141512,0.01500245941957698,0.08903098868666995,0.024613114381928942,0.03821559650384048,0.116269143861411,0.37105197087622394,0.3187296008034145,0.19394928445895054
2100500,65235,18867,33767,12601,17342,23491,24402,90,47,351,2969,10992,2676,7208,1410,511,1625,805,2235,2373,4291,6518,9147,818,7706,1466,1997,5185,15022,14884,11277,0.28921591170384,0.5176209090212309,0.1931631792749291,0.2658388901663218,0.36009810684448534,0.3740630029891929,0.0013796275005748448,0.0007204721391890856,0.005380547252241894,0.04551237832451905,0.16849850540354105,0.04102092435042538,0.11049283360159423,0.02161416417567257,0.007833218364374952,0.024909940982601363,0.012340001532919444,0.03426074959760864,0.036376178431823405,0.06577757338851843,0.09991568943052043,0.14021614164175672,0.012539281060780255,0.11812677243810837,0.02247259906491914,0.030612401318310722,0.1118228088336784,0.3239734299516908,0.32099723947550035,0.24320652173913043
2100600,32845,8267,16869,7709,8952,15705,8188,62,44,196,872,6621,906,4123,1965,336,990,263,343,57,1090,4553,5838,419,2428,412,1327,2805,8768,7901,5104,0.25169736641802404,0.5135941543613944,0.23470847922058152,0.272552899984777,0.47815497031511645,0.24929212970010656,0.0018876541330491703,0.0013396255137768306,0.0059674227431877,0.02654894200030446,0.201583193789009,0.027584107170041103,0.12552899984776983,0.05982645760389709,0.010229867559750342,0.030141574059978686,0.008007307048256964,0.010442989800578475,0.001735423961029076,0.033186177500380575,0.13862079464149796,0.1777439488506622,0.012756888415283909,0.07392297153295783,0.012543766174455778,0.04040188765413305,0.11412645455285214,0.356741801611197,0.32146635202213364,0.20766539181381724
2100700,33097,7931,18207,6959,8427,15307,9363,233,41,338,1055,5163,1283,4244,878,321,1038,219,945,171,1977,3631,6124,305,2763,657,1711,2902,8712,8321,5231,0.23962896939299635,0.5501102818986615,0.21026074870834213,0.25461522192343716,0.46248904734568086,0.282895730730882,0.007039912983049824,0.0012387829712662778,0.01021240595824395,0.03187600084599813,0.1559960117231169,0.03876484273499109,0.12822914463546545,0.02652808411638517,0.009698764238450615,0.03136235912620479,0.006616913919690606,0.028552436776747136,0.00516663141674472,0.059733510590083694,0.10970782850409402,0.185031876000846,0.009215336737468653,0.08348188657582258,0.01985074175907182,0.05169652838625857,0.11531431296193277,0.3461813557975046,0.3306445203846459,0.2078598108559167
2100800,37336,9966,20672,6698,8889,17566,10881,31,299,265,895,4502,836,4923,2423,1313,719,246,954,57,5946,3250,5312,175,2931,557,1702,3147,9904,8986,5333,0.2669273623312621,0.5536747375187486,0.1793979001499893,0.23808120848510822,0.47048425112491965,0.29143454038997213,0.0008302978358688665,0.008008356545961003,0.007097707306620956,0.023971502035568887,0.12058067280908506,0.022391257767302334,0.13185665309620742,0.0648971502035569,0.03516713091922006,0.01925755303192629,0.006588815084636812,0.02555174630383544,0.001526676665952432,0.15925648167988002,0.08704735376044569,0.14227555174630382,0.004687165202485537,0.07850332119134347,0.014918577244482537,0.045586029569316476,0.11497990500548046,0.3618560467665327,0.32831567409572526,0.1948483741322616
2100900,32362,7743,17876,6743,8415,13791,10156,27,1170,374,537,2678,673,4641,357,285,817,338,1260,178,621,5866,6847,251,3146,701,1595,2618,8258,8091,5652,0.23926209752178482,0.5523762437426611,0.20836165873555404,0.26002719238613187,0.4261479513009085,0.31382485631295964,0.0008343118472282306,0.03615351337988999,0.011556764106050306,0.01659353562820592,0.08275137506952598,0.020795995303133304,0.14340893640689698,0.011031456646684383,0.008806625054075768,0.025245658488350534,0.010444348309745999,0.038934552870650764,0.005500278103949076,0.019189172486249306,0.18126197392002966,0.21157530436932204,0.007756010135343922,0.09721278042148199,0.021661207589147767,0.049286199864038066,0.1063406312197896,0.3354319834274341,0.32864860473617935,0.22957878061659695
2101000,26199,5908,14972,5319,6522,11821,7856,30,1019,125,416,258,450,3605,609,268,594,160,533,156,1113,4457,8119,45,1829,628,1785,1899,6681,6817,4894,0.2255047902591702,0.5714721935951754,0.2030230161456544,0.2489407992671476,0.4512004274972327,0.29985877323561966,0.0011450818733539448,0.03889461429825566,0.004771174472308104,0.01587846864384137,0.009847704110843925,0.017176228100309172,0.1376006717813657,0.023245162029085078,0.010229398068628574,0.022672621092408106,0.006107103324554372,0.02034428794992175,0.005954425741440513,0.042482537501431356,0.17012099698461774,0.30989732432535594,0.0017176228100309172,0.06981182487881217,0.023970380548875913,0.06813237146455972,0.09358829037504313,0.3292592775121975,0.33596175644374354,0.2411906756690158
2101100,40069,9421,22881,7767,9858,16528,13683,22,2473,536,1421,969,1074,6725,872,749,1179,359,1368,107,1082,5954,8365,321,3473,946,2074,3092,10226,10200,7130,0.23511941900222116,0.5710399560757693,0.19384062492200954,0.24602560582994334,0.41248845741096607,0.34148593675909056,0.0005490528837754873,0.061718535526217276,0.013376924804711872,0.03546382490204397,0.024183283835383963,0.02680376350794879,0.16783548379046145,0.021762459756919313,0.01869275499762909,0.029424243180513614,0.008959544785245452,0.0341411065911303,0.00267039357108987,0.027003419102048967,0.14859367590905687,0.2087648805809978,0.00801118071326961,0.08667548478873942,0.023609274002345953,0.05176071277047094,0.10088749673714435,0.3336596188984599,0.3328112764291308,0.23264160793526495
2101290,90262,22008,48261,19993,21930,34731,33601,301,213,508,3808,21165,2586,11570,1625,1398,2477,1038,2313,863,4926,9014,11982,508,7664,2515,3788,7421,24157,22740,13936,0.2438235359287408,0.5346768296736168,0.22149963439764242,0.24295938490173052,0.3847798630652988,0.3722607520329707,0.0033347366555139483,0.002359797035297246,0.005628060534887328,0.04218829629301367,0.23448405752143758,0.02864993020318628,0.1281824023398551,0.018003146396047064,0.015488245330260796,0.027442334537236046,0.011499855974828832,0.025625401608650372,0.009561055593716072,0.05457446101349405,0.09986483791628814,0.13274689237996057,0.005628060534887328,0.08490837783341827,0.02786333119142053,0.04196671910660078,0.1087262284994286,0.35392797491722094,0.3331672868989363,0.2041785096844141
2101400,36695,8393,19836,8466,8246,14335,14114,597,955,835,1480,9441,1384,3845,711,264,744,242,608,73,1648,3429,5327,368,2248,855,1641,3378,10072,9357,5495,0.2287232592996321,0.5405641095517101,0.23071263114865787,0.22471726393241587,0.39065267747649546,0.38463005859108873,0.016269246491347596,0.026025344052323204,0.022755143752554843,0.04033247036380978,0.2572830085842758,0.037716310123995095,0.10478266793841123,0.019375936776127537,0.007194440659490394,0.020275241858563837,0.0065949039378661945,0.016569014852159693,0.0019893718490257527,0.04491075078348549,0.09344597356588091,0.1451696416405505,0.010028614252622973,0.06126175228232729,0.02330017713584957,0.044719989099332336,0.11935552257790968,0.355875909829694,0.3306126775492898,0.1941558900431065
