,GISMATCH,STATEFIP,State,MIGPLAC,MIGPUMA,PWSTATE,PWPUMA,center,TYPE,CBSA_NAME
559,901100,09,Connecticut,009,01100,09,01100,POINT (1959591.5134202575 694614.5797645197),Metro,"Norwich-New London, CT Metro Area"
560,901300,09,Connecticut,009,01300,09,01300,POINT (1930653.024272177 729504.5824583451),Metro,"Hartford-West Hartford-East Hartford, CT Metro Area"
561,901500,09,Connecticut,009,01500,09,01500,POINT (1959220.305625953 733936.1665629395),Metro,"Worcester, MA-CT Metro Area"
562,1000100,10,Delaware,010,00100,10,00100,POINT (1718756.6180210693 417429.4162433683),T34,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
563,1000200,10,Delaware,010,00200,10,00200,POINT (1737525.0892452912 365197.88343407045),Metro,"Dover, DE Metro Area"
564,1000300,10,Delaware,010,00300,10,00300,POINT (1761880.9678024875 321991.38213503227),Metro,"Salisbury, MD-DE Metro Area"
565,1100100,11,District of Columbia,011,00100,11,00100,POINT (1620150.7694516075 320414.91162788525),T34,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
566,1800600,18,Indiana,018,00600,18,00600,POINT (890455.9397211678 500366.3946000114),Nonmetro,"Kendallville, IN Micro Area"
567,1800900,18,Indiana,018,00900,18,00900,POINT (893397.880282806 426544.15677498863),Metro,"Fort Wayne, IN Metro Area"
568,1801000,18,Indiana,018,01000,18,01000,POINT (909149.1115094472 454728.2264104256),Metro,"Fort Wayne, IN Metro Area"
569,1801500,18,Indiana,018,01500,18,01500,POINT (913004.9739822908 355659.2552106065),Nonmetro,
570,1801900,18,Indiana,018,01900,18,01900,POINT (866327.0056639231 345185.8721748166),T34,"Indianapolis-Carmel-Anderson, IN Metro Area"
571,1802000,18,Indiana,018,02000,18,02000,POINT (892564.7065736194 355520.0230425201),Metro,"Muncie, IN Metro Area"
572,1802500,18,Indiana,018,02500,18,02500,POINT (867042.3949106924 287790.7581281161),T34,"Indianapolis-Carmel-Anderson, IN Metro Area"
573,1802600,18,Indiana,018,02600,18,02600,POINT (916955.4924746276 299628.2101928802),Nonmetro,"Connersville, IN Micro Area"
574,1803000,18,Indiana,018,03000,18,03000,POINT (894462.616466738 215177.23171230432),Nonmetro,"North Vernon, IN Micro Area"
575,1803100,18,Indiana,018,03100,18,03100,POINT (931782.0545818468 237795.21183394283),T34,"Cincinnati, OH-KY-IN Metro Area"
576,1803600,18,Indiana,018,03600,18,03600,POINT (887735.6120617525 157642.2249809238),Metro,"Louisville/Jefferson County, KY-IN Metro Area"
577,2100600,21,Kentucky,021,00600,21,00600,POINT (946544.091905734 9772.013385470585),Nonmetro,
578,2100700,21,Kentucky,021,00700,21,00700,POINT (1001289.9002427048 -5839.498040727293),Nonmetro,"Somerset, KY Micro Area"
579,2100800,21,Kentucky,021,00800,21,00800,POINT (1050558.2166062861 37714.389941226014),Nonmetro,"London, KY Micro Area"
580,2100900,21,Kentucky,021,00900,21,00900,POINT (1082854.5901995401 -7068.104242139148),Nonmetro,"Middlesborough, KY Micro Area"
581,2101000,21,Kentucky,021,01000,21,01000,POINT (1112617.214717798 58716.93194733971),Nonmetro,
582,2101100,21,Kentucky,021,01100,21,01100,POINT (1164269.2604719908 94562.43176886252),Nonmetro,
583,2101690,21,Kentucky,021,01690,21,01690,POINT (921784.6925267198 136164.469079654),Metro,"Louisville/Jefferson County, KY-IN Metro Area"
584,2101700,21,Kentucky,021,01700,21,01700,POINT (895400.0842808279 125783.24621103682),Metro,"Louisville/Jefferson County, KY-IN Metro Area"
585,2101900,21,Kentucky,021,01900,21,01900,POINT (1000838.1369237319 121625.04839901286),Metro,"Lexington-Fayette, KY Metro Area"
586,2102000,21,Kentucky,021,02000,21,02000,POINT (965401.4367539784 114147.58327215085),Nonmetro,"Frankfort, KY Micro Area"
587,2102100,21,Kentucky,021,02100,21,02100,POINT (989588.756261625 71860.45313303261),Nonmetro,"Danville, KY Micro Area"
588,2102200,21,Kentucky,021,02200,21,02200,POINT (1036626.1974180262 91356.19269622977),Nonmetro,
589,2102300,21,Kentucky,021,02300,21,02300,POINT (1013459.2540859946 147011.07911763887),Metro,"Lexington-Fayette, KY Metro Area"
590,2102400,21,Kentucky,021,02400,21,02400,POINT (982375.938604052 219994.06057621335),T34,"Cincinnati, OH-KY-IN Metro Area"
591,2102500,21,Kentucky,021,02500,21,02500,POINT (965309.2061507853 222053.0256088829),T34,"Cincinnati, OH-KY-IN Metro Area"
592,2102600,21,Kentucky,021,02600,21,02600,POINT (974682.4366794644 189470.92703756512),T34,"Cincinnati, OH-KY-IN Metro Area"
593,2102700,21,Kentucky,021,02700,21,02700,POINT (1069853.1750041095 158263.76729526144),Nonmetro,
594,2102800,21,Kentucky,021,02800,21,02800,POINT (1130927.1088618895 165138.62068349327),Nonmetro,
595,2300100,23,Maine,023,00100,23,00100,POINT (2111326.1024197275 1280932.0825248288),Nonmetro,
596,2300200,23,Maine,023,00200,23,00200,POINT (2015821.885057967 1158496.5082161834),Nonmetro,
597,2300300,23,Maine,023,00300,23,00300,POINT (2111430.5634240163 1189012.3194783893),Metro,"Bangor, ME Metro Area"
598,2300400,23,Maine,023,00400,23,00400,POINT (2057429.936168797 1058896.4869475304),Nonmetro,"Augusta-Waterville, ME Micro Area"
599,2300500,23,Maine,023,00500,23,00500,POINT (2128559.594043616 1088761.3002469132),Nonmetro,
600,2300600,23,Maine,023,00600,23,00600,POINT (2031135.7734942157 1023338.4549401196),Metro,"Lewiston-Auburn, ME Metro Area"
601,2300790,23,Maine,023,00790,23,00790,POINT (2023527.4967959307 966546.324726093),Metro,"Portland-South Portland, ME Metro Area"
602,2400100,24,Maryland,024,00100,24,00100,POINT (1435685.9506929633 359918.87348912883),Nonmetro,
603,2400200,24,Maryland,024,00200,24,00200,POINT (1538036.8572606917 383397.9672428685),Metro,"Hagerstown-Martinsburg, MD-WV Metro Area"
604,2400300,24,Maryland,024,00300,24,00300,POINT (1575618.9762410168 375734.2876518197),T34,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
605,2400400,24,Maryland,024,00400,24,00400,POINT (1604993.4282897392 391982.1881639242),T34,"Baltimore-Columbia-Towson, MD Metro Area"
606,2400500,24,Maryland,024,00500,24,00500,POINT (1638781.1297939566 387838.7133918725),T34,"Baltimore-Columbia-Towson, MD Metro Area"
607,2400600,24,Maryland,024,00600,24,00600,POINT (1663683.1780688078 404091.1654583675),T34,"Baltimore-Columbia-Towson, MD Metro Area"
608,2400700,24,Maryland,024,00700,24,00700,POINT (1694730.9536092135 412226.45384728076),T34,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
609,2400800,24,Maryland,024,00800,24,00800,POINT (1644669.36743366 371010.2405794354),T34,"Baltimore-Columbia-Towson, MD Metro Area"
610,2400900,24,Maryland,024,00900,24,00900,POINT (1619590.712543519 359259.89422436577),T34,"Baltimore-Columbia-Towson, MD Metro Area"
611,2401000,24,Maryland,024,01000,24,01000,POINT (1599222.2044274425 342073.1452636847),T34,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
612,2401100,24,Maryland,024,01100,24,01100,POINT (1636255.5293679356 314776.6898083093),T34,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
613,2401200,24,Maryland,024,01200,24,01200,POINT (1651872.44675832 337847.8542611282),T34,"Baltimore-Columbia-Towson, MD Metro Area"
614,2401300,24,Maryland,024,01300,24,01300,POINT (1707805.117383871 330104.7649426253),Nonmetro,"Easton, MD Micro Area"
615,2401400,24,Maryland,024,01400,24,01400,POINT (1759360.490452046 273191.97903513745),Metro,"Salisbury, MD-DE Metro Area"
616,2401500,24,Maryland,024,01500,24,01500,POINT (1667281.1249002507 271370.31938254135),Metro,"California-Lexington Park, MD Metro Area"
617,2401600,24,Maryland,024,01600,24,01600,POINT (1631203.8659990653 276611.2701065973),T34,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
618,2500100,25,Massachusetts,025,00100,25,00100,POINT (1847361.0844722567 768125.4636542274),Metro,"Pittsfield, MA Metro Area"
619,2500290,25,Massachusetts,025,00290,25,00290,POINT (1893673.0622198288 778942.9237674861),Metro,"Springfield, MA Metro Area"
620,2500390,25,Massachusetts,025,00390,25,00390,POINT (1995010.0166457475 793862.7259026829),T34,"Boston-Cambridge-Newton, MA-NH Metro Area"
621,2503300,25,Massachusetts,025,03300,25,03300,POINT (2017385.8282830087 807278.0300282093),T34,"Boston-Cambridge-Newton, MA-NH Metro Area"
622,2504790,25,Massachusetts,025,04790,25,04790,POINT (2095928.4957587537 746724.1634917188),Metro,"Barnstable Town, MA Metro Area"
623,2600300,26,Michigan,026,00300,26,00300,POINT (932218.8700143825 898547.1531692011),Nonmetro,
624,2601200,26,Michigan,026,01200,26,01200,POINT (900358.2000378823 740764.1408053637),Nonmetro,"Mount Pleasant, MI Micro Area"
625,2601300,26,Michigan,026,01300,26,01300,POINT (941529.0493989565 812383.7325289291),Nonmetro,
626,2601400,26,Michigan,026,01400,26,01400,POINT (944590.2636494578 749919.413000004),Metro,"Midland, MI Metro Area"
627,2601500,26,Michigan,026,01500,26,01500,POINT (961518.3854604407 713841.0758527315),Metro,"Saginaw, MI Metro Area"
628,2601600,26,Michigan,026,01600,26,01600,POINT (1036688.6178843232 749924.6225153822),Nonmetro,
629,2601700,26,Michigan,026,01700,26,01700,POINT (997289.4841890695 683730.2888223195),Metro,"Flint, MI Metro Area"
630,2601800,26,Michigan,026,01800,26,01800,POINT (945934.6218886886 628818.5566378027),Metro,"Lansing-East Lansing, MI Metro Area"
