PUMA,GISMATCH,GISJOIN,GEOID,STATEFIP,State,Name,JAN_AVG_TEMP_C,JULY_AVG_TEMP_C,AVG_TOT_PPT_MM,AVG_TOT_POP_M,AVG_TOT_PPT_M
0603100,603100,G06003100,0603100,06,California,Kings County--Hanford City PUMA,8.29980071773374,27.15599196519309,210.45045731707316,0.21045045731707315,0.21045045731707315
0601302,601302,G06001302,0601302,06,California,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA",9.726339721679688,18.945267740885416,583.5939453125,0.5835939453125,0.5835939453125
0601301,601301,G06001301,0601301,06,California,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA,10.290269470214843,17.75585021972656,607.6759765625,0.6076759765624999,0.6076759765624999
0601303,601303,G06001303,0601303,06,California,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities PUMA",9.277129561812789,20.374267578125,570.1421440972222,0.5701421440972222,0.5701421440972222
0601309,601309,G06001309,0601309,06,California,Contra Costa County (East)--Brentwood & Oakley Cities PUMA,8.669613792782737,23.32593500046503,366.30975632440476,0.36630975632440477,0.36630975632440477
0601305,601305,G06001305,0601305,06,California,Contra Costa County (South)--San Ramon City & Danville Town PUMA,9.00026605068109,21.94269581330128,514.1463341346154,0.5141463341346154,0.5141463341346154
0601308,601308,G06001308,0601308,06,California,Contra Costa County (Northeast)--Antioch City PUMA,8.869313557942709,22.504590715680802,413.0306454613095,0.4130306454613095,0.4130306454613095
0601306,601306,G06001306,0601306,06,California,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA",8.860558902516084,21.433064180261947,505.8358800551471,0.5058358800551471,0.5058358800551471
0601304,601304,G06001304,0601304,06,California,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA",9.111376532192889,20.085661789466595,629.7941810344828,0.6297941810344828,0.6297941810344828
0601307,601307,G06001307,0601307,06,California,Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities PUMA,8.933975219726562,21.938455200195314,443.482373046875,0.443482373046875,0.443482373046875
0607319,607319,G06007319,0607319,06,California,"San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley PUMA",12.53238032414363,23.08796105018029,370.8738356370192,0.3708738356370192,0.3708738356370192
0607322,607322,G06007322,0607322,06,California,San Diego County (South)--San Diego City (South/Otay Mesa & South Bay) PUMA,13.640280723571777,21.45328140258789,276.458740234375,0.276458740234375,0.276458740234375
0607310,607310,G06007310,0607310,06,California,San Diego County (West)--San Diego City (Southwest/Central Coastal) PUMA,13.898680419921876,20.339410400390626,259.26939453125,0.25926939453125,0.25926939453125
0607307,607307,G06007307,0607307,06,California,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona PUMA",11.899903453480114,23.18880948153409,407.9175426136364,0.4079175426136364,0.4079175426136364
0607320,607320,G06007320,0607320,06,California,San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East) PUMA,13.64424540201823,21.449578857421876,285.8323567708333,0.2858323567708333,0.2858323567708333
0607316,607316,G06007316,0607316,06,California,San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park) PUMA,14.096837043762207,20.91651153564453,261.22796630859375,0.26122796630859374,0.26122796630859374
0607309,607309,G06007309,0607309,06,California,San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA,13.222558063009512,21.225033967391305,312.8357676630435,0.3128357676630435,0.3128357676630435
0607304,607304,G06007304,0607304,06,California,San Diego County (Northwest)--Carlsbad City PUMA,13.04806166428786,20.716768704927883,299.03286508413464,0.2990328650841346,0.2990328650841346
0607301,607301,G06007301,0607301,06,California,San Diego County (Northwest)--Oceanside City & Camp Pendleton PUMA,13.471836159446022,21.509925426136363,345.4922940340909,0.3454922940340909,0.3454922940340909
0607313,607313,G06007313,0607313,06,California,San Diego County (Central)--El Cajon & Santee Cities PUMA,13.54074205671038,22.96130589076451,338.6429966517857,0.3386429966517857,0.3386429966517857
