,MIGPUMA,JAN_AVG_TEMP_C,JULY_AVG_TEMP_C,AVG_TOT_PPT_M
272,1900200,-9.132179465868795,22.151741190159573,0.8921349290780143
273,1900400,-8.61845539525612,21.966640826353093,0.9572084407216495
274,1900500,-7.868108678747107,22.67220504195602,0.9475832609953703
275,1900600,-8.129723385730422,22.66089278990964,0.9097965361445783
276,1900700,-7.646823489010989,22.28996823489011,0.9641747939560439
277,1900800,-6.355845296410183,23.046365489130434,0.9579384296338672
278,1900900,-5.750534921322229,23.47140330188679,0.9579239386792453
279,1901000,-7.00301522919626,22.779988606770832,0.9706633522727273
280,1901100,-6.024186134338379,23.483600616455078,0.9476397705078126
281,1901200,-6.980402127118178,23.070092429577464,0.93710068221831
282,1901300,-7.039666364734299,23.16785552536232,0.919085220410628
283,1901490,-6.145054159096882,23.86700117753339,0.8962377455796552
284,1901800,-5.604616319444444,23.70954861111111,0.9399376666666667
285,1901900,-7.566253573481366,22.998489306026137,0.8279554695062924
286,1902000,-7.457097152990798,23.183334631422543,0.7718202645705521
287,1902100,-5.602882084453405,23.935768555854242,0.8713871714456392
288,1902200,-5.107018375703376,24.012544589027335,0.9593898713826366
289,1902300,-4.499885559082031,24.279462541852677,0.9648099888392856
290,2000100,-1.4505111497563743,25.468042478751464,0.561255715123095
291,2000200,-2.074602059702345,26.101705237515226,0.778963915956151
292,2000300,-2.0541349898937136,25.901815724927324,0.8678197674418604
293,2000400,-2.2302650649540703,25.692059167867438,0.9704814481268011
294,2000500,-1.463731719226372,26.094393102134145,1.0398769054878048
295,2000600,-1.349091626594006,25.969359938779686,1.0420430943407586
296,2000700,-1.4875637622589761,26.059211893284573,0.9895741356382979
297,2000800,-1.7610319266693415,25.941147735792995,0.9437145971531016
298,2000990,0.027654003033189815,26.6677093890544,0.8408702605485775
299,2001000,-0.2895104500555223,26.740013860887096,0.7740561995967741
300,2001200,0.15965318857260932,26.160918394471025,0.5138804492291335
301,2001300,0.09188241839169003,26.875922789822795,0.895748943017468
302,2001400,-0.6227598934074415,26.149832105719238,1.0563275563258232
303,2001500,0.6804435063334344,26.555912469660193,1.1263929611650485
304,2100100,2.14175305065808,26.191137915259013,1.3276970720720722
305,2100200,1.7173055013020833,25.87172031641604,1.2817759241854638
306,2100300,2.1126019413140673,25.989326949668136,1.327396662979351
307,2100400,1.9512297930395386,25.374424037273474,1.346502780065898
308,2100500,1.9233653728778546,25.57743718073918,1.3499522235576924
309,2100600,1.749163632465498,24.670028454156093,1.3581657677664976
310,2100700,1.7127625356496,24.23073569961073,1.3666317041522493
311,2100800,1.2748383721944803,23.954789518900345,1.3323654424398628
